pixel_x,pixel_y,Flags
1219.00151,2618.828466,same one?
1224.232045,2627.259529,same one?
1231.672267,2508.23303,same one?
1233.777318,2591.699456,same one?
1234.349088,2630.807572,same one?
1287.753922,2627.458065,same one?
1292.991319,2573.435067,same one?
1346.100817,2597.366972,same one?
1353.90099,2649.124387,same one?
1373.954063,3094.987982,-1
2183.862298,2862.75554,-1
2809.038108,3209.126585,-1
3033.951648,2453.947048,-1
3042.82248,1689.726096,-1
3220.992792,1779.944221,-1
3654.324705,3306.71844,Same?
3667.076192,3297.433724,Same?
3720.530938,1340.545989,Lensed?