pixel_x,pixel_y,Flag
904.6606242,1568.886179,?
1029.180779,3704.382291,-1
1080.684993,2039.831539,-1
1192.760962,2269.615459,?
1193.313808,1470.135335,?
1465.074903,1906.278874,-1
1835.584507,1528.752036,Lensed?
2109.103294,1677.428547,-1
2133.759515,1458.189377,on spike
2206.188845,925.3073585,Same?
2219.005177,924.9716382,Same?
2255.79768,1410.912323,on spike
2287.935254,2642.052777,Lensed
2310.133793,1386.073012,on spike
2458.093607,2923.512942,?
2503.61983,2924.412348,?
2504.819897,2399.151329,lensed?
2644.869146,1417.526791,-1
3277.694664,2622.801026,?
3551.187716,3877.634291,-1
3759.154424,3566.21184,?
4152.519996,2792.788294,?